Platform,Genre,Year,Amount,PlatformGenre
Wii,Strategy ,2006,1,WiiStrategy 
Wii,Strategy ,2007,4,WiiStrategy 
Wii,Strategy ,2008,3,WiiStrategy 
Wii,Strategy ,2009,7,WiiStrategy 
Wii,Strategy ,2010,7,WiiStrategy 
Wii,Strategy ,2011,2,WiiStrategy 
Wii,Strategy ,2012,0,WiiStrategy 
Wii,Strategy ,2013,1,WiiStrategy 
Wii,Adventure,2006,1,WiiAdventure
Wii,Adventure,2007,12,WiiAdventure
Wii,Adventure,2008,24,WiiAdventure
Wii,Adventure,2009,25,WiiAdventure
Wii,Adventure,2010,15,WiiAdventure
Wii,Adventure,2011,3,WiiAdventure
Wii,Adventure,2012,1,WiiAdventure
Wii,Adventure,2013,0,WiiAdventure
Wii,Adventure,2014,1,WiiAdventure
Wii,Adventure,N/A,1,WiiAdventure
Wii,Fighting,2006,2,WiiFighting
Wii,Fighting,2007,12,WiiFighting
Wii,Fighting,2008,13,WiiFighting
Wii,Fighting,2009,6,WiiFighting
Wii,Fighting,2010,5,WiiFighting
Wii,Fighting,2011,3,WiiFighting
Wii,Fighting,N/A,1,WiiFighting
Wii,Action,2006,9,WiiAction
Wii,Action,2007,38,WiiAction
Wii,Action,2008,39,WiiAction
Wii,Action,2009,54,WiiAction
Wii,Action,2010,39,WiiAction
Wii,Action,2011,29,WiiAction
Wii,Action,2012,13,WiiAction
Wii,Action,2013,2,WiiAction
Wii,Action,2014,3,WiiAction
Wii,Action,2015,3,WiiAction
Wii,Action,N/A,8,WiiAction
Wii,Simulation,2006,2,WiiSimulation
Wii,Simulation,2007,15,WiiSimulation
Wii,Simulation,2008,25,WiiSimulation
Wii,Simulation,2009,27,WiiSimulation
Wii,Simulation,2010,11,WiiSimulation
Wii,Simulation,2011,2,WiiSimulation
Wii,Simulation,2012,1,WiiSimulation
Wii,Simulation,2013,1,WiiSimulation
Wii,Simulation,N/A,3,WiiSimulation
Wii,Shooter,2006,3,WiiShooter
Wii,Shooter,2007,13,WiiShooter
Wii,Shooter,2008,13,WiiShooter
Wii,Shooter,2009,13,WiiShooter
Wii,Shooter,2010,13,WiiShooter
Wii,Shooter,2011,6,WiiShooter
Wii,Shooter,N/A,4,WiiShooter
Wii,Misc,2006,8,WiiMisc
Wii,Misc,2007,25,WiiMisc
Wii,Misc,2008,44,WiiMisc
Wii,Misc,2009,65,WiiMisc
Wii,Misc,2010,65,WiiMisc
Wii,Misc,2011,50,WiiMisc
Wii,Misc,2012,8,WiiMisc
Wii,Misc,2013,4,WiiMisc
Wii,Misc,2014,1,WiiMisc
Wii,Misc,2015,1,WiiMisc
Wii,Misc,2016,1,WiiMisc
Wii,Misc,N/A,8,WiiMisc
Wii,Puzzle,2006,3,WiiPuzzle
Wii,Puzzle,2007,5,WiiPuzzle
Wii,Puzzle,2008,18,WiiPuzzle
Wii,Puzzle,2009,18,WiiPuzzle
Wii,Puzzle,2010,8,WiiPuzzle
Wii,Puzzle,2011,1,WiiPuzzle
Wii,Puzzle,2012,1,WiiPuzzle
Wii,Puzzle,N/A,1,WiiPuzzle
Wii,Role-Playing,2006,2,WiiRole-Playing
Wii,Role-Playing,2007,5,WiiRole-Playing
Wii,Role-Playing,2008,6,WiiRole-Playing
Wii,Role-Playing,2009,11,WiiRole-Playing
Wii,Role-Playing,2010,2,WiiRole-Playing
Wii,Role-Playing,2011,7,WiiRole-Playing
Wii,Role-Playing,2012,2,WiiRole-Playing
Wii,Racing,2006,5,WiiRacing
Wii,Racing,2007,14,WiiRacing
Wii,Racing,2008,23,WiiRacing
Wii,Racing,2009,24,WiiRacing
Wii,Racing,2010,15,WiiRacing
Wii,Racing,2011,9,WiiRacing
Wii,Racing,2012,1,WiiRacing
Wii,Racing,N/A,2,WiiRacing
Wii,Platform,2006,4,WiiPlatform
Wii,Platform,2007,10,WiiPlatform
Wii,Platform,2008,15,WiiPlatform
