PlatformGenre,Continent,SumSales
WiiStrategy,North America,2.32
WiiStrategy,Europe,0.71
WiiStrategy,Asia,1.74
WiiAdventure,North America,10.86
WiiAdventure,Europe,4.37
WiiAdventure,Asia,1.17
WiiFighting,North America,12.83
WiiFighting,Europe,5.01
WiiFighting,Asia,3.67
WiiAction,North America,68.07
WiiAction,Europe,31.54
WiiAction,Asia,4.92
WiiSimulation,North America,23.3
WiiSimulation,Europe,7.59
WiiSimulation,Asia,1.98
WiiShooter,North America,18.22
WiiShooter,Europe,6.7
WiiShooter,Asia,0.64
WiiMisc,North America,118.82
WiiMisc,Europe,63.93
WiiMisc,Asia,14.48
WiiPuzzle,North America,9.1
WiiPuzzle,Europe,3.54
WiiPuzzle,Asia,1.5
WiiRole-Playing,North America,5.48
WiiRole-Playing,Europe,1.88
WiiRole-Playing,Asia,5.63
WiiRacing,North America,30.95
WiiRacing,Europe,19.66
WiiRacing,Asia,4.11
WiiPlatform,North America,47.23
WiiPlatform,Europe,23.5
WiiPlatform,Asia,11.24
WiiSports,North America,149.72
WiiSports,Europe,93.78
WiiSports,Asia,18.25
NESAdventure,North America,2.19
NESAdventure,Europe,0.5
NESAdventure,Asia,1.61
NESFighting,North America,2.84
NESFighting,Europe,0.66
NESFighting,Asia,2.94
NESAction,North America,16.31
NESAction,Europe,3.34
NESAction,Asia,8.65
NESShooter,North America,29.03
NESShooter,Europe,1.13
NESShooter,Asia,4.94
NESMisc,North America,0.01
NESMisc,Europe,0
NESMisc,Asia,3.58
NESPuzzle,North America,9.14
NESPuzzle,Europe,1.98
NESPuzzle,Asia,9.44
NESRole-Playing,North America,1.14
NESRole-Playing,Europe,0
NESRole-Playing,Asia,16.11
NESRacing,North America,4.64
NESRacing,Europe,1.23
NESRacing,Asia,3.69
NESPlatform,North America,53.64
NESPlatform,Europe,10.19
NESPlatform,Asia,30.26
NESSports,North America,7
NESSports,Europe,2.12
NESSports,Asia,17.43
GBStrategy,North America,1.49
GBStrategy,Europe,0.73
GBStrategy,Asia,5.73
GBAdventure,North America,8.88
